YTD ,Tüm gün gelen adetlerin slot yetişme oranları v1+v2+v3 (Planlamanın takip ettiği metot),,,,,,,Tüm gün gelen adetlerin Inbound geliş saatleri,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"18,69%","59,75%",4.966,15.873,26.566,29.472,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"3,91%","53,77%",858,11.793,21.934,45.165,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisan,"59,32%","24,45%",1.707.230,703.508,2.877.839,3.383.229,,İzmir Torbalı SC,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
Ankara Kazan SC,"68,91%","19,25%",485.604,135.664,704.665,779.627,,Ankara Kazan SC,96.862,50.672,76.584,60.447,15.017,8.924,0,19.935,31.697,94.565,35.419,13.125,0,0,10.329,0,28.350,16.110,37.363,7.188,0,25.117,60.949,16.012,704.665
Esenyurt SC ,"64,45%","21,85%",365.130,123.773,566.545,593.499,,Esenyurt SC ,83.542,0,80.066,66.401,58.650,0,46.020,24.081,81.703,37.686,0,22.021,14.444,9.648,0,2.037,0,0,0,6.969,5.306,21.307,6.664,0,566.545
Gebze SC,"61,59%","22,70%",235.346,86.733,382.147,412.552,,Gebze SC,42.837,12.104,22.076,64.032,44.177,24.634,37.352,13.627,29.219,21.206,26.523,4.548,0,0,0,8.028,7.528,0,1.349,1.443,3.918,17.546,0,0,382.147
İkitelli-Defne Transfer Merkezi,"39,07%","36,12%",140.517,129.908,359.636,382.550,,İkitelli-Defne Transfer Merkezi,33.799,0,0,0,6.587,65.739,81.580,7.381,37.969,91.191,19.670,0,0,0,0,0,0,0,0,5.379,0,10.341,0,0,359.636
Ayazağa Konsolidasyon Merkezi,"67,70%","15,53%",89.059,20.434,131.556,154.965,,Ayazağa Konsolidasyon Merkezi,0,0,0,10.640,3.405,82.973,25.449,0,0,0,9.089,0,0,0,0,0,0,0,0,0,0,0,0,0,131.556
Halkalı Konsolidasyon Merkezi,"61,48%","20,48%",87.244,29.057,141.902,175.489,,Halkalı Konsolidasyon Merkezi,0,0,0,0,28.983,68.834,21.743,11.027,0,11.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.902
Maltepe Konsolidasyon Merkezi,"78,62%","10,52%",133.774,17.906,170.156,217.777,,Maltepe Konsolidasyon Merkezi,0,0,4.442,30.656,76.406,43.427,15.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.156
Bursa MH,"79,33%","9,94%",118.770,14.879,149.724,162.802,,Bursa MH,12.713,0,0,5.928,26.121,86.254,14.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.486,0,0,149.724
Antalya MH,"10,73%","54,23%",6.399,32.356,59.664,183.913,,Antalya MH,0,2.048,0,0,5.606,0,0,0,40.671,11.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.664
Çayırova-Erguvan Transfer Merkezi,"30,09%","51,13%",37.908,64.415,125.983,129.235,,Çayırova-Erguvan Transfer Merkezi,11.068,0,0,0,5.981,0,16.617,40.738,35.800,6.687,0,0,0,0,0,0,0,0,6.004,0,0,3.088,0,0,125.983
Denizli MH,"8,71%","56,35%",7.479,48.383,85.861,190.820,,Denizli MH,0,2.208,0,0,6.545,0,0,0,58.995,18.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.861
,,,,,,,,Total,280.821,67.032,183.168,238.104,277.478,380.785,258.208,116.789,316.054,292.102,90.701,39.694,14.444,9.648,10.329,10.065,35.878,16.110,44.716,20.979,9.224,81.885,67.613,16.012,2.877.839
,,,,,,,,%,"9,76%","2,33%","6,36%","8,27%","9,64%","13,23%","8,97%","4,06%","10,98%","10,15%","3,15%","1,38%","0,50%","0,34%","0,36%","0,35%","1,25%","0,56%","1,55%","0,73%","0,32%","2,85%","2,35%","0,56%",
14,"58,91%","24,14%",360.405,147.673,611.833,712.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"63,05%","20,27%",97.244,31.268,154.234,174.167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"61,73%","23,88%",85.553,33.101,138.593,150.103,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"61,79%","23,35%",57.989,21.913,93.852,99.826,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"32,25%","42,37%",26.765,35.158,82.980,95.755,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"63,85%","17,83%",19.022,5.312,29.794,31.962,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"72,57%","13,76%",20.802,3.944,28.666,31.319,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"77,10%","12,17%",26.214,4.137,33.998,46.120,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"71,94%","13,77%",25.176,4.820,34.995,38.268,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"11,14%","54,48%",1.640,8.020,14.721,44.747,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"58,28%","29,86%",13.332,6.832,22.877,23.259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"10,04%","57,43%",2.014,11.525,20.069,44.747,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"62,38%","22,49%",400.548,144.427,642.084,765.691,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"72,12%","18,05%",124.167,31.079,172.179,189.709,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"63,66%","23,18%",85.670,31.199,134.580,140.123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"69,12%","17,18%",62.240,15.470,90.047,99.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"35,58%","38,39%",30.926,33.367,86.919,89.936,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"71,44%","13,72%",21.141,4.060,29.592,41.691,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"45,43%","31,35%",16.860,11.634,37.114,56.573,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"71,71%","15,17%",28.341,5.995,39.520,63.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"79,31%","10,45%",29.525,3.892,37.229,40.069,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"11,26%","51,87%",1.678,7.731,14.904,45.380,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"28,22%","53,13%",9.315,17.536,33.008,34.119,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"9,19%","55,16%",1.894,11.366,20.605,45.380,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"60,96%","22,70%",382.291,142.371,627.105,706.103,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"61,82%","22,22%",97.677,35.115,158.010,174.653,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"61,80%","24,27%",87.123,34.210,140.980,146.098,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"58,33%","24,77%",55.033,23.370,94.352,101.896,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"42,66%","32,92%",36.884,28.457,86.455,89.695,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"69,74%","15,18%",20.553,4.474,29.469,31.829,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"81,13%","8,02%",22.415,2.216,27.630,30.930,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"83,29%","7,13%",33.215,2.844,39.877,46.862,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"77,02%","10,71%",27.358,3.803,35.519,38.597,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"13,72%","53,21%",2.033,7.882,14.813,45.543,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"36,19%","46,79%",10.446,13.507,28.865,29.465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"9,87%","56,16%",2.020,11.495,20.468,45.543,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"62,01%","21,64%",371.931,129.812,599.786,701.079,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"69,82%","18,28%",113.013,29.580,161.855,178.962,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"68,63%","18,90%",80.322,22.124,117.039,127.061,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"58,16%","23,38%",48.473,19.483,83.341,89.424,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"44,10%","32,09%",37.511,27.297,85.064,98.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"55,85%","22,00%",17.652,6.953,31.604,38.083,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"51,71%","26,06%",18.854,9.502,36.459,45.072,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"74,32%","12,05%",28.769,4.663,38.712,46.855,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"79,00%","10,22%",25.811,3.340,32.674,35.694,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"11,70%","52,69%",1.526,6.870,13.038,41.919,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"15,42%","62,18%",4.390,17.700,28.468,28.891,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"10,06%","53,12%",1.926,10.166,19.139,41.919,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"71,96%","15,36%",306.072,65.332,425.330,473.540,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankara Kazan SC,"76,80%","14,36%",97.114,18.156,126.448,140.457,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esenyurt SC ,"72,70%","13,17%",72.573,13.150,99.822,103.388,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebze SC,"69,54%","19,00%",39.052,10.671,56.160,60.264,,,,,,,,,,,,,,,,,,,,,,,,,,,
İkitelli-Defne Transfer Merkezi,"54,84%","25,86%",26.018,12.270,47.442,49.263,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayazağa Konsolidasyon Merkezi,"75,10%","11,23%",14.151,2.116,18.842,19.841,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halkalı Konsolidasyon Merkezi,"68,37%","14,92%",13.536,2.954,19.798,20.509,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltepe Konsolidasyon Merkezi,"90,90%","4,19%",23.228,1.071,25.554,27.490,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bursa MH,"87,13%","6,18%",19.225,1.363,22.065,24.135,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antalya MH,"12,77%","38,93%",1.175,3.581,9.199,28.193,,,,,,,,,,,,,,,,,,,,,,,,,,,
Çayırova-Erguvan Transfer Merkezi,"43,50%","40,35%",9.532,8.842,21.912,22.824,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denizli MH,"10,60%","47,56%",1.655,7.428,15.617,35.100,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayıs,"62,97%","18,28%",1.500.522,435.677,2.383.005,2.554.156,,İzmir Torbalı SC,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
Ankara Kazan SC,"66,86%","17,20%",422.749,108.737,632.324,706.304,,Ankara Kazan SC,,,,,,,,,,,,,,,,,,,,,,,,,0
Esenyurt SC ,"66,43%","15,26%",395.693,90.867,595.646,618.266,,Esenyurt SC ,,,,,,,,,,,,,,,,,,,,,,,,,0
Gebze SC,"59,75%","18,96%",233.901,74.207,391.480,419.405,,Gebze SC,,,,,,,,,,,,,,,,,,,,,,,,,0
İkitelli-Defne Transfer Merkezi,"40,30%","31,27%",120.417,93.432,298.765,311.910,,İkitelli-Defne Transfer Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,0
Ayazağa Konsolidasyon Merkezi,"72,29%","12,18%",70.566,11.892,97.611,102.577,,Ayazağa Konsolidasyon Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,0
